pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
gold,2021-09-10 06:00:00,2021-09-10,Fri,4,long,day,1794.56995,1792.7246066057714,1809.48999,1.845343394228621,14.920039999999972,8.09,0,6,0.07006000000001222,1,1,1,0,1794.2448834775646,1795.1950565224356,13,19,19.003460897415653,bull,bull
gold,2021-09-14 06:00:00,2021-09-14,Tue,1,long,swing,1793.71997,1778.8258869208398,1828.21997,14.894083079160282,34.5,2.32,0,235,15.020019999999931,0,0,1,1,1780.2693084595646,1794.7035238468118,15,124,18.04276923405886,bull,unclear
gold,2021-09-16 06:00:00,2021-09-16,Thu,3,long,day,1793.83997,1778.9683482418754,1828.21997,14.871621758124547,34.38000000000011,2.31,0,51,2.380000000000109,0,0,1,0,1780.3950096251842,1794.661623458272,15,128,17.83326729135977,bull,bull
gold,2021-09-28 14:00:00,2021-09-28,Tue,1,short,day,1751.29504,1759.5468372606608,1732.16003,8.251797260660851,19.135009999999966,2.32,1,28,19.355099999999993,1,0,1,1,1757.0002644617475,1757.9797155382525,8,10,19.58902153010325,bear,bear
gold,2021-09-28 16:00:00,2021-09-28,Tue,1,short,swing,1740.94995,1748.3271317224082,1721.18005,7.377181722408295,19.769900000000007,2.68,0,216,19.25,1,0,1,0,1739.89001,1746.76001,6,32,19.58902153010325,bear,unclear
gold,2021-10-01 06:00:00,2021-10-01,Fri,4,short,day,1756.91003,1759.5955753467176,1750.82996,2.6855453467176176,6.080069999999978,2.26,1,60,6.9000200000000405,1,0,1,0,1756.9886601555434,1757.9913198444567,8,10,20.053193778262788,bear,bear
gold,2021-10-05 17:00:00,2021-10-05,Tue,1,short,swing,1757.23999,1759.591870402779,1750.82996,2.3518804027789884,6.410030000000006,2.73,0,5,1.8199500000000626,1,0,1,0,1756.9895422850527,1757.9904377149473,9,12,20.01790859789517,bear,unclear
gold,2021-10-07 16:00:00,2021-10-07,Thu,3,short,swing,1756.58997,1759.5734072394207,1748.67004,2.9834372394207094,7.919930000000022,2.65,0,1,0.0,1,0,1,0,1756.9939382763284,1757.9860417236716,10,13,19.84206894686347,bear,unclear
gold,2021-10-08 06:00:00,2021-10-08,Fri,4,short,swing,1755.45996,1759.4731389741646,1732.16003,4.013178974164703,23.299929999999904,5.81,0,24,2.0399199999999382,1,0,1,1,1757.017811672818,1757.962168327182,10,14,18.88713308728167,bear,unclear
gold,2021-10-15 06:00:00,2021-10-15,Fri,4,long,day,1796.67004,1792.4112366521242,1829.55005,4.258803347875755,32.880010000000084,7.72,0,37,2.309940000000097,1,0,1,0,1794.1702715838392,1795.269668416161,14,21,21.987936646437653,bull,bull
