ts,open,high,low,close
2026-03-30 00:15:00+00:00,21965.9,22111.68,21954.13,22069.68
2026-03-30 00:30:00+00:00,22066.68,22071.68,21991.13,21993.13
2026-03-30 00:45:00+00:00,21992.13,22001.68,21927.68,21968.68
2026-03-30 01:00:00+00:00,21968.68,21986.68,21945.68,21955.68
2026-03-30 01:15:00+00:00,21955.68,21970.68,21937.68,21953.68
2026-03-30 01:30:00+00:00,21953.68,22011.13,21953.68,22009.68
2026-03-30 01:45:00+00:00,22009.68,22026.68,22002.68,22015.68
2026-03-30 02:00:00+00:00,22017.68,22055.68,22010.68,22053.68
2026-03-30 02:15:00+00:00,22053.68,22053.68,22022.68,22041.13
2026-03-30 02:30:00+00:00,22038.68,22079.68,22034.68,22070.68
2026-03-30 02:45:00+00:00,22072.68,22123.68,22070.68,22097.13
2026-03-30 03:00:00+00:00,22097.13,22143.63,22090.68,22118.68
2026-03-30 03:15:00+00:00,22118.68,22156.43,22117.68,22146.68
2026-03-30 03:30:00+00:00,22146.68,22157.43,22127.68,22148.13
2026-03-30 03:45:00+00:00,22146.68,22160.13,22134.68,22150.03
2026-03-30 04:00:00+00:00,22150.03,22167.68,22141.68,22159.68
2026-03-30 04:15:00+00:00,22159.68,22193.63,22153.13,22186.68
2026-03-30 04:30:00+00:00,22187.68,22203.63,22156.68,22157.68
2026-03-30 04:45:00+00:00,22157.68,22164.68,22140.63,22152.13
2026-03-30 05:00:00+00:00,22151.13,22195.63,22146.68,22170.68
2026-03-30 05:15:00+00:00,22170.68,22197.03,22168.68,22176.13
2026-03-30 05:30:00+00:00,22175.13,22194.63,22166.13,22182.03
2026-03-30 05:45:00+00:00,22183.43,22192.63,22143.63,22145.03
2026-03-30 06:00:00+00:00,22145.03,22216.08,22133.63,22201.08
2026-03-30 06:15:00+00:00,22203.08,22240.08,22199.83,22222.83
2026-03-30 06:30:00+00:00,22224.08,22263.08,22217.08,22252.08
2026-03-30 06:45:00+00:00,22252.08,22294.08,22242.08,22244.08
2026-03-30 07:00:00+00:00,22244.08,22299.08,22205.08,22291.08
2026-03-30 07:15:00+00:00,22291.08,22292.08,22214.08,22231.08
2026-03-30 07:30:00+00:00,22231.08,22260.08,22203.08,22236.08
2026-03-30 07:45:00+00:00,22236.08,22278.08,22220.08,22271.83
2026-03-30 08:00:00+00:00,22268.93,22285.08,22225.08,22276.08
2026-03-30 08:15:00+00:00,22275.08,22312.08,22269.08,22303.08
2026-03-30 08:30:00+00:00,22301.08,22347.08,22295.08,22322.08
2026-03-30 08:45:00+00:00,22322.08,22353.08,22312.08,22349.08
2026-03-30 09:00:00+00:00,22350.08,22371.08,22325.08,22328.08
2026-03-30 09:15:00+00:00,22328.08,22328.08,22281.08,22284.08
2026-03-30 09:30:00+00:00,22284.08,22299.08,22253.08,22258.08
2026-03-30 09:45:00+00:00,22258.08,22268.08,22234.08,22248.08
2026-03-30 10:00:00+00:00,22248.08,22276.08,22229.08,22270.08
2026-03-30 10:15:00+00:00,22270.08,22304.08,22264.08,22290.08
2026-03-30 10:30:00+00:00,22290.08,22292.08,22257.08,22264.83
2026-03-30 10:45:00+00:00,22265.08,22311.08,22264.08,22311.08
2026-03-30 11:00:00+00:00,22311.08,22374.08,22308.08,22350.08
2026-03-30 11:15:00+00:00,22351.08,22529.83,22343.08,22411.08
2026-03-30 11:30:00+00:00,22411.08,22419.08,22355.08,22373.08
2026-03-30 11:45:00+00:00,22372.08,22394.08,22334.08,22355.08
2026-03-30 12:00:00+00:00,22356.08,22359.08,22322.08,22343.08
2026-03-30 12:15:00+00:00,22343.08,22384.08,22327.08,22381.08
2026-03-30 12:30:00+00:00,22381.08,22412.08,22375.08,22403.08
2026-03-30 12:45:00+00:00,22402.08,22413.08,22384.08,22412.08
2026-03-30 13:00:00+00:00,22412.08,22428.08,22369.08,22406.08
2026-03-30 13:15:00+00:00,22407.08,22432.08,22398.08,22418.08
2026-03-30 13:30:00+00:00,22418.08,22441.08,22364.08,22377.08
2026-03-30 13:45:00+00:00,22377.08,22391.08,22341.08,22353.08
2026-03-30 14:00:00+00:00,22352.08,22433.08,22352.08,22417.08
2026-03-30 14:15:00+00:00,22417.08,22423.08,22375.08,22392.08
2026-03-30 14:30:00+00:00,22392.08,22449.08,22377.08,22381.08
2026-03-30 14:45:00+00:00,22380.08,22495.08,22372.08,22495.08
2026-03-30 15:00:00+00:00,22495.08,22547.08,22464.08,22468.08
2026-03-30 15:15:00+00:00,22468.08,22515.08,22455.08,22497.08
2026-03-30 15:30:00+00:00,22497.08,22603.08,22491.08,22597.08
2026-03-30 15:45:00+00:00,22597.08,22624.08,22579.08,22597.08
2026-03-30 16:00:00+00:00,22597.08,22602.08,22551.08,22572.08
2026-03-30 16:15:00+00:00,22572.08,22572.08,22532.08,22535.08
2026-03-30 16:30:00+00:00,22536.08,22563.08,22531.08,22547.08
2026-03-30 16:45:00+00:00,22547.08,22547.08,22517.08,22535.08
2026-03-30 17:00:00+00:00,22534.08,22550.08,22512.08,22514.83
2026-03-30 17:15:00+00:00,22515.08,22518.08,22462.83,22468.08
2026-03-30 17:30:00+00:00,22469.08,22498.08,22447.08,22495.08
2026-03-30 17:45:00+00:00,22494.08,22502.83,22465.08,22480.08
2026-03-30 18:00:00+00:00,22479.08,22485.08,22459.08,22478.08
2026-03-30 18:15:00+00:00,22478.08,22493.08,22450.08,22452.08
2026-03-30 18:30:00+00:00,22452.08,22463.08,22421.08,22435.08
2026-03-30 18:45:00+00:00,22435.08,22443.08,22392.08,22402.08
2026-03-30 19:00:00+00:00,22403.08,22406.08,22336.08,22347.08
2026-03-30 19:15:00+00:00,22347.08,22376.08,22347.08,22373.08
2026-03-30 19:30:00+00:00,22373.08,22424.08,22373.08,22412.83
2026-03-30 19:45:00+00:00,22412.83,22456.83,22401.08,22446.33
2026-03-30 20:00:00+00:00,22449.33,22450.43,22398.43,22403.43
2026-03-30 20:15:00+00:00,22404.43,22415.43,22398.43,22412.43
