datetime,close,atr_15m,d_trend,h4_trend,h4_slope,h1_trend,h4_d_phase,h1_h4_phase,min_of_day,day_of_week,year,long_win,short_win
2020-01-28 10:15:00,1580.66907,1.0894272097591584,1,1,1,1,1,1,615,1,2020,1,0
2020-01-28 10:30:00,1580.77991,1.02083024845793,1,1,1,1,1,1,630,1,2020,1,0
2020-01-28 10:45:00,1581.18994,1.0296902153302012,1,1,1,1,1,1,645,1,2020,1,1
2020-01-28 11:00:00,1580.89526,1.024396853286179,1,1,1,1,1,1,660,1,2020,1,0
2020-01-28 11:15:00,1580.98999,0.9896666061813681,1,1,1,1,1,1,675,1,2020,1,0
2020-01-28 11:30:00,1581.0050049,0.9243777253571858,1,1,1,1,1,1,690,1,2020,1,0
2020-01-28 11:45:00,1582.72839,1.0917848286428806,1,1,1,1,1,1,705,1,2020,0,1
2020-01-28 12:00:00,1580.995,1.3362043181571652,1,1,1,1,1,1,720,1,2020,1,1
2020-01-28 12:15:00,1581.87,1.3333850757362273,1,1,1,1,1,1,735,1,2020,0,1
2020-01-28 12:30:00,1581.21997,1.3329283989713705,1,1,1,1,1,1,750,1,2020,1,1
2020-01-28 12:45:00,1580.99158,1.2620739457751855,1,1,1,1,1,1,765,1,2020,1,0
2020-01-28 13:00:00,1581.66931,1.3057934196718266,1,1,1,1,1,1,780,1,2020,0,1
2020-01-28 13:15:00,1581.76001,1.2279929637155738,1,1,1,1,1,1,795,1,2020,0,1
2020-01-28 13:30:00,1580.98999,1.1922552352201823,1,1,1,1,1,1,810,1,2020,0,1
2020-01-28 13:45:00,1581.13,1.0990425371908232,1,1,1,1,1,1,825,1,2020,0,1
2020-01-28 14:00:00,1580.88,1.0546195322320402,1,1,1,-1,1,-1,840,1,2020,0,1
2020-01-28 14:15:00,1580.69397,0.9680074612677699,1,1,1,-1,1,-1,855,1,2020,0,1
2020-01-28 14:30:00,1580.34998,0.9176171330987265,1,1,1,-1,1,-1,870,1,2020,0,1
2020-01-28 14:45:00,1579.68616,0.9192748486855851,1,1,1,-1,1,-1,885,1,2020,1,0
2020-01-28 15:00:00,1580.33997,0.8865488688608342,1,1,1,-1,1,-1,900,1,2020,0,1
2020-01-28 15:15:00,1579.76746,0.8976730196793697,1,1,1,-1,1,-1,915,1,2020,1,0
2020-01-28 15:30:00,1579.36475,0.8593139503887806,1,1,1,-1,1,-1,930,1,2020,1,0
2020-01-28 15:45:00,1579.64038,0.8316200903369286,1,1,1,-1,1,-1,945,1,2020,1,0
2020-01-28 16:00:00,1580.43188,0.849400078292004,1,1,1,-1,1,-1,960,1,2020,0,1
2020-01-28 16:15:00,1580.245,0.798222734519716,1,1,1,-1,1,-1,975,1,2020,0,1
2020-01-28 16:30:00,1579.13293,0.8837850365837511,1,1,1,-1,1,-1,990,1,2020,1,1
2020-01-28 16:45:00,1579.33032,0.9432910317059113,1,1,1,-1,1,-1,1005,1,2020,0,1
2020-01-28 17:00:00,1579.41809,0.9592828941451199,1,1,1,-1,1,-1,1020,1,2020,0,1
2020-01-28 17:15:00,1579.1438,1.003383841592419,1,1,1,-1,1,-1,1035,1,2020,1,1
2020-01-28 17:30:00,1579.19995,0.9967153293801202,1,1,1,-1,1,-1,1050,1,2020,1,1
2020-01-28 17:45:00,1579.00354,0.9871919521294248,1,1,1,-1,1,-1,1065,1,2020,1,1
2020-01-28 18:00:00,1578.80005,1.1275715585121655,1,1,1,-1,1,-1,1080,1,2020,0,1
2020-01-28 18:15:00,1578.47571,1.0736486840438813,1,1,1,-1,1,-1,1095,1,2020,0,1
2020-01-28 18:30:00,1577.62,1.0864848595047034,1,1,1,-1,1,-1,1110,1,2020,1,0
2020-01-28 18:45:00,1577.20996,1.0776227449040827,1,1,1,-1,1,-1,1125,1,2020,1,0
2020-01-28 19:00:00,1578.30005,1.2199423789168928,1,1,1,1,1,1,1140,1,2020,1,0
2020-01-28 19:15:00,1578.93152,1.2181887283946347,1,1,1,1,1,1,1155,1,2020,1,0
2020-01-28 19:30:00,1579.17773,1.211915564608673,1,1,1,1,1,1,1170,1,2020,1,0
2020-01-28 19:45:00,1580.40967,1.358334822660853,1,1,1,1,1,1,1185,1,2020,1,0
2020-01-28 20:00:00,1579.73816,1.5332288463060992,1,1,1,-1,1,-1,1200,1,2020,1,0
2020-01-28 20:15:00,1580.495,1.5557023334652689,1,1,1,-1,1,-1,1215,1,2020,0,1
2020-01-28 20:30:00,1578.88989,1.6256180223365635,1,1,1,-1,1,-1,1230,1,2020,1,0
2020-01-28 20:45:00,1579.21338,1.567543619358342,1,1,1,-1,1,-1,1245,1,2020,1,0
2020-01-28 21:00:00,1579.42004,1.466529803443879,1,1,1,-1,1,-1,1260,1,2020,1,1
2020-01-28 21:15:00,1580.079956,1.4323212963180145,1,1,1,-1,1,-1,1275,1,2020,0,1
2020-01-28 21:30:00,1579.079956,1.3986699234756124,1,1,1,-1,1,-1,1290,1,2020,1,0
2020-01-28 21:45:00,1579.39001,1.3215072670122057,1,1,1,-1,1,-1,1305,1,2020,1,0
2020-01-28 22:00:00,1579.69238,1.2453062980772451,1,1,1,-1,1,-1,1320,1,2020,1,1
2020-01-28 22:15:00,1580.09436,1.225864125000287,1,1,1,-1,1,-1,1335,1,2020,0,1
2020-01-28 22:30:00,1579.78467,1.1530889083335738,1,1,1,-1,1,-1,1350,1,2020,0,1
2020-01-28 22:45:00,1578.15002,1.2446882538890884,1,1,1,-1,1,-1,1365,1,2020,0,1
2020-01-28 23:00:00,1576.8999,1.5827324867038965,1,1,1,-1,1,-1,1380,1,2020,0,1
2020-01-28 23:15:00,1574.59644,1.8616921551433643,1,1,1,-1,1,-1,1395,1,2020,0,1
2020-01-28 23:30:00,1573.032471,1.9627985344575714,1,1,1,-1,1,-1,1410,1,2020,1,0
2020-01-28 23:45:00,1574.1604,2.058432063196584,1,1,1,-1,1,-1,1425,1,2020,1,1
2020-01-29 00:00:00,1573.28394,2.053310454770394,1,-1,-1,-1,-1,1,0,2,2020,1,0
2020-01-29 00:15:00,1574.079956,2.001899727467691,1,-1,-1,-1,-1,1,15,2,2020,1,0
2020-01-29 00:30:00,1575.29822,1.9869824304720054,1,-1,-1,-1,-1,1,30,2,2020,1,0
2020-01-29 00:45:00,1574.88025,1.9153941064090843,1,-1,-1,-1,-1,1,45,2,2020,1,0
2020-01-29 01:00:00,1576.84338,2.0226708922211896,1,-1,-1,-1,-1,1,60,2,2020,0,1
2020-01-29 01:15:00,1575.85815,1.9463241065917105,1,-1,-1,-1,-1,1,75,2,2020,1,0
2020-01-29 01:30:00,1577.17004,2.1734847590461364,1,-1,-1,-1,-1,1,90,2,2020,0,1
2020-01-29 01:45:00,1575.81995,2.2063587911733142,1,-1,-1,-1,-1,1,105,2,2020,0,1
2020-01-29 02:00:00,1572.875,2.361510952350191,1,-1,-1,-1,-1,1,120,2,2020,0,1
2020-01-29 02:15:00,1569.69495,2.557302825370173,1,-1,-1,-1,-1,1,135,2,2020,1,1
2020-01-29 02:30:00,1568.62842,2.588318448654142,1,-1,-1,-1,-1,1,150,2,2020,1,0
2020-01-29 02:45:00,1570.2002,2.5658813221669496,1,-1,-1,-1,-1,1,165,2,2020,0,1
2020-01-29 03:00:00,1570.90002,2.4657571458780168,1,-1,-1,-1,-1,1,180,2,2020,0,1
2020-01-29 03:15:00,1570.18506,2.3769801930942687,1,-1,-1,-1,-1,1,195,2,2020,0,1
2020-01-29 03:30:00,1568.52026,2.3320548340150147,1,-1,-1,-1,-1,1,210,2,2020,1,0
2020-01-29 03:45:00,1568.30078,2.2517787228130204,1,-1,-1,-1,-1,1,225,2,2020,1,0
2020-01-29 04:00:00,1568.044678,2.1568802264379325,1,-1,-1,-1,-1,1,240,2,2020,1,0
2020-01-29 04:15:00,1569.48999,2.1733001962461946,1,-1,-1,-1,-1,1,255,2,2020,1,0
2020-01-29 04:30:00,1570.23999,2.0354148367466953,1,-1,-1,-1,-1,1,270,2,2020,1,1
2020-01-29 04:45:00,1569.92004,1.8700315251804656,1,-1,-1,-1,-1,1,285,2,2020,1,0
2020-01-29 05:00:00,1571.099976,1.803360655156389,1,-1,-1,-1,-1,1,300,2,2020,0,1
2020-01-29 05:15:00,1570.76221,1.6988992344688714,1,-1,-1,-1,-1,1,315,2,2020,0,1
2020-01-29 05:30:00,1571.28101,1.6577153365396953,1,-1,-1,-1,-1,1,330,2,2020,0,1
2020-01-29 05:45:00,1569.64148,1.6993652916677395,1,-1,-1,-1,-1,1,345,2,2020,0,1
2020-01-29 06:00:00,1569.19995,1.654781919445379,1,-1,-1,-1,-1,1,360,2,2020,0,1
2020-01-29 06:15:00,1568.98181,1.5494763301859997,1,-1,-1,-1,-1,1,375,2,2020,1,1
2020-01-29 06:30:00,1568.53003,1.4800540194945213,1,-1,-1,-1,-1,1,390,2,2020,1,0
2020-01-29 06:45:00,1569.18274,1.466778816895253,1,-1,-1,-1,-1,1,405,2,2020,0,1
2020-01-29 07:00:00,1569.45862,1.4175136413092098,1,-1,-1,-1,-1,1,420,2,2020,0,1
2020-01-29 07:15:00,1569.060059,1.3398558224679902,1,-1,-1,-1,-1,1,435,2,2020,0,1
2020-01-29 07:30:00,1569.43005,1.3238710461389083,1,-1,-1,-1,-1,1,450,2,2020,0,1
2020-01-29 07:45:00,1569.22998,1.2609282399870725,1,-1,-1,-1,-1,1,465,2,2020,0,1
2020-01-29 08:00:00,1568.47998,1.244139141322125,1,-1,-1,-1,-1,1,480,2,2020,0,1
