date,signal_time,h4b,h1b,hdb,h4_slope,orb_range_atr,asian_range_atr,breaks_asian_lo,breaks_pdl,pre_frb_mom,ret4bar,dow,month,adr_at_frb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2021-03-26,2021-03-26 13:30:00,-1,-1,-1,-1,0.839161002839822,12.545039269393035,0,0,-2.0097156361462365,-1.6195949001146064,4,3,9.159328026677516,1725.030029,1728.44995,1724.8100500000003,3.419920999999931,0.21997899999973924,1,1,0.7-1.0
2021-03-30,2021-03-30 10:30:00,-1,-1,-1,-1,0.775899156787653,18.041870721178878,0,1,0.6511310050236587,-1.5695369736078955,1,3,5.305216127561684,1710.81006,1712.29004,1710.0500399999999,1.4799800000000687,0.7600200000001678,3,0,0.7-1.0
2021-10-08,2021-10-08 07:30:00,-1,-1,-1,1,0.5784927959850097,7.102403170083215,0,0,-0.2699830159614761,-0.0899921961353851,4,10,2.7051325639812283,1754.81995,1756.68005,1754.3800099999999,1.8600999999998749,0.43994000000020606,1,1,0.5-0.7
2021-10-12,2021-10-12 10:00:00,-1,-1,-1,-1,1.067943633908257,12.226204756355886,0,0,-2.516361904686151,-1.0312390940889862,1,10,3.357254874279268,1753.19995,1754.68994,1752.4499600000001,1.4899900000000343,0.7499899999997979,4,1,>1.0
2021-10-19,2021-10-19 09:30:00,-1,-1,1,-1,1.0775571534690045,10.34969344204729,0,0,-2.0800102059847454,-1.027387513793247,1,10,3.2471366001773156,1763.90002,1765.34998,1763.13,1.449959999999919,0.7700199999999313,3,1,>1.0
2021-10-20,2021-10-20 09:45:00,-1,-1,-1,-1,1.0512858101898126,21.94313109946166,0,0,-0.4890059650133673,-0.07340835008017726,2,10,7.012192912786921,1769.12,1770.68994,1768.46998,1.5699400000000878,0.6500199999998131,2,1,>1.0
2021-11-02,2021-11-02 19:00:00,-1,1,1,1,0.7057632625563405,6.025920426058297,0,0,-0.06634551062230434,-2.111185445751642,1,11,4.06395946425589,1792.25,1794.16003,1791.31995,1.9100300000000061,0.9300499999999374,2,1,0.7-1.0
2021-11-03,2021-11-03 09:15:00,-1,-1,1,-1,1.0546988398871953,8.159205763281975,0,0,1.1937754206442555,-0.614289667489311,2,11,2.4465810897887286,1787.33997,1788.91003,1786.58997,1.5700600000000122,0.75,8,1,>1.0
2021-11-04,2021-11-04 07:45:00,-1,-1,1,-1,0.892045256490881,6.675914164610698,0,1,0.18857273056492932,-1.3490010562037595,3,11,5.78457485707256,1769.81995,1774.64001,1769.2200899999998,4.820060000000012,0.5998600000002625,2,0,0.7-1.0
2021-11-19,2021-11-19 19:15:00,-1,-1,1,1,1.2405315777517547,6.485078193844304,0,1,-0.5648959910439209,-1.705703228971855,4,11,4.4319778743233735,1855.60999,1859.62,1854.6400000000003,4.010009999999966,0.9699899999995978,1,1,>1.0
2021-11-20,2021-11-20 08:45:00,-1,-1,1,-1,2.018920041418579,14.200950614748756,0,1,0.43885267241321696,-0.7397881191118975,5,11,14.200950614748756,1845.76001,1850.18005,1843.2398699999999,4.420039999999972,2.520140000000083,1,1,>1.0
2021-11-23,2021-11-23 19:45:00,-1,-1,1,-1,0.8461220101711073,13.870538056516908,1,1,-0.6048853495800065,-2.3601304808187438,1,11,15.011828837157362,1801.079956,1805.93994,1800.6000999999999,4.85998399999994,0.4798560000001544,1,1,0.7-1.0
2021-11-24,2021-11-24 22:45:00,-1,-1,1,-1,1.6760297012338892,5.274858599792519,0,1,-0.4469263554964962,-0.9777340409126023,2,11,7.698195044546117,1787.32996,1791.95996,1784.26002,4.629999999999882,3.069940000000088,5,1,>1.0
2021-12-01,2021-12-01 08:00:00,-1,-1,-1,-1,1.527617749592639,15.655932980171968,0,1,-0.26269563092559944,-0.06062735343210026,2,12,15.8985480729967,1772.48999,1776.81006,1768.7499999999998,4.320069999999987,3.7399900000002617,4,0,>1.0
