date,direction,h4b,h1b,hdb,h4_slope,orb_range_atr,frb_short_day,breaks_pdl,breaks_pdh,ret4bar,dow,month,adr_at_nyorb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2021-11-23,short,-1,-1,1,-1,1.8502431561168302,0,1,0,-0.9178870077776888,1,11,13.772390997863917,1807.51001,1810.80005,1805.17993,3.29004000000009,2.3300799999999526,8,1,>1.0
2021-11-24,short,-1,1,1,-1,1.22325600503431,0,0,0,-0.8195751279612056,2,11,7.505348963780782,1792.92004,1795.42004,1790.97986,2.5,1.9401800000000549,5,0,>1.0
2021-11-25,short,-1,1,-1,-1,0.7345545430277154,0,0,0,-0.5811362515313437,3,11,13.717555701548168,1792.29004,1793.81006,1791.48998,1.5200199999999313,0.8000600000000304,11,0,0.7-1.0
2021-11-29,short,-1,-1,-1,-1,1.1251828025033344,0,0,0,-0.5600152841062485,0,11,8.113315334301513,1793.66003,1797.15002,1792.22986,3.4899900000000343,1.4301700000000892,2,1,>1.0
2021-12-01,short,-1,-1,-1,-1,1.2254123321620505,1,1,0,-0.18295626364702408,2,12,15.8985480729967,1778.050049,1780.88,1775.9600799999998,2.8299510000001646,2.08996900000011,7,0,>1.0
2021-12-02,short,-1,-1,-1,-1,0.9034992329201385,0,0,0,-1.1774022206279822,3,12,7.001011153274644,1779.77002,1781.68005,1778.7398699999999,1.9100300000000061,1.0301500000000487,2,1,0.7-1.0
2021-12-03,short,-1,1,-1,-1,1.6726925956874183,0,0,0,-2.5399302468235465,4,12,10.933472863755586,1771.10999,1774.92004,1769.0199000000002,3.8100500000000466,2.090089999999691,4,1,>1.0
2021-12-07,short,-1,1,-1,1,0.90055852235083,0,0,0,-1.0892114032640932,1,12,6.010091224461475,1778.76001,1780.75,1778.1499,1.9899900000000343,0.610110000000077,1,1,0.7-1.0
2021-12-08,long,1,1,-1,1,1.6212331180761421,1,0,1,1.4671827280020724,2,12,8.107689318038865,1790.82996,1788.45996,1792.1201200000003,2.3700000000001182,1.2901600000002418,4,0,>1.0
2021-12-10,short,-1,-1,-1,-1,1.6785592784612295,1,0,0,-0.321580216846078,4,12,7.893256837383851,1777.65002,1780.05005,1776.2099500000002,2.400030000000015,1.4400699999998778,4,1,>1.0
2021-12-13,long,1,1,-1,1,1.0901186750467609,0,0,0,0.7770742294368922,0,12,4.3385208116587055,1786.73999,1784.93994,1787.45996,1.8000500000000557,0.7199699999998757,5,0,>1.0
2021-12-14,long,1,1,-1,1,1.574931787393943,1,0,0,1.765006776532401,1,12,6.953863131927043,1788.16003,1785.540039,1788.859861,2.6199910000000273,0.6998309999999037,6,0,>1.0
2021-12-15,short,-1,-1,-1,-1,2.6684157053691315,1,1,0,-1.0160520560461324,2,12,12.166448494750023,1769.66003,1772.88,1767.1800599999997,3.219970000000103,2.4799700000003213,8,1,>1.0
2021-12-16,long,1,1,-1,1,1.2213467138914713,0,0,0,1.5244301249540575,3,12,17.54743621572416,1783.63,1781.34998,1784.5899600000002,2.2800200000001496,0.9599600000001374,2,1,>1.0
2021-12-17,long,1,1,-1,1,1.3456221397760457,0,0,1,0.6585210682281528,4,12,12.428423395247876,1803.53003,1801.13,1805.3900199999998,2.400029999999788,1.8599899999999252,2,1,>1.0
2021-12-20,long,1,-1,1,1,1.237781401122992,0,0,0,1.3541278807569672,0,12,2.4868629547926915,1802.73999,1800.93994,1803.7800399999999,1.8000500000000557,1.0400499999998374,4,1,>1.0
2021-12-21,short,-1,-1,1,-1,0.9827262179428535,1,1,0,-2.3619570365349163,1,12,8.930849233879462,1789.46997,1791.69995,1788.82007,2.2299799999998413,0.649900000000116,3,0,0.7-1.0
2021-12-22,short,-1,-1,1,-1,2.850882706244166,1,1,0,-1.28351130896193,2,12,11.044922457289161,1787.76001,1791.23999,1786.5200100000002,3.4799800000000687,1.2399999999997817,8,1,>1.0
2021-12-23,long,1,1,1,1,1.6957242247383961,0,0,1,1.4079376193313755,3,12,16.976499476233638,1807.68005,1804.76001,1808.56005,2.9200399999999718,0.8800000000001091,21,0,>1.0
2021-12-29,short,-1,-1,1,-1,0.9281230186103727,1,0,0,-0.7939300909592201,2,12,9.071817369568576,1806.73999,1808.21997,1806.06005,1.4799800000000687,0.6799399999999878,4,1,0.7-1.0
2021-12-30,short,-1,-1,1,-1,2.219025625270317,0,0,0,-1.0517329703730718,3,12,14.260497848795548,1800.46997,1803.85999,1799.51989,3.390019999999822,0.9500800000000709,1,1,>1.0
2021-12-31,long,1,1,-1,1,1.851728226755661,1,0,1,1.0644742743871443,4,12,19.720569224351816,1818.98999,1816.80005,1820.6398900000002,2.1899399999999787,1.649900000000116,7,0,>1.0
2022-01-04,short,-1,-1,1,-1,1.960570996708183,0,1,0,-0.9936012040950101,1,1,10.919984198753188,1803.79004,1806.75,1801.830078,2.95995999999991,1.9599620000001323,14,0,>1.0
2022-01-05,long,1,1,1,1,2.187955416903614,1,0,0,1.4413717169513296,2,1,12.169976061674616,1816.92004,1813.93005,1818.6500300000002,2.9899900000000343,1.7299900000002708,2,0,>1.0
2022-01-06,short,-1,-1,-1,-1,1.10403094858772,0,0,0,-1.1754906247371184,3,1,7.650308827506771,1807.52002,1809.91003,1806.6300099999999,2.390010000000075,0.8900100000000748,1,1,>1.0
2022-01-07,short,-1,-1,1,-1,2.1371480865335872,0,1,0,-2.262170584582194,4,1,5.238361965040974,1790.71997,1793.79004,1789.53002,3.070069999999987,1.1899500000001808,2,1,>1.0
