date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2024-02-15 00:00:00+00:00,2024-02-15 14:30:00+00:00,1,clean_lo,52500.0,51717.58,782.4199999999983,52254.08,52404.1,150.0199999999968,52595.0,52224.333518333995,53336.33296333201,370.666481666005,198.30987777337208,False,,2024-02-15 15:00:00+00:00,221.62000000000262,0.5978959818646264,3,2024
2024-02-26 00:00:00+00:00,2024-02-26 15:15:00+00:00,1,clean_lo,51796.5,51400.0,396.5,51718.6,51925.89,207.29000000000087,52350.77,51694.220594677194,53663.8688106456,656.5494053228031,162.5293688187191,True,,2024-02-26 19:00:00+00:00,1313.0988106456061,2.0,0,2024
2024-03-03 00:00:00+00:00,2024-03-03 12:15:00+00:00,1,clean_lo,62100.0,61642.39,457.6100000000006,61831.1,62197.55,366.45000000000437,62568.01,61804.70779256316,64094.614414873686,763.3022074368419,175.9480495789389,False,,2024-03-03 20:00:00+00:00,420.98999999999796,0.5515377735034679,6,2024
2024-03-08 00:00:00+00:00,2024-03-08 15:45:00+00:00,-1,clean_hi,67590.0,66757.0,833.0,68390.8,68565.01,174.20999999999185,67617.6,68643.95088871344,65564.89822257313,1026.3508887134376,526.2725914229478,False,,2024-03-08 17:45:00+00:00,1534.9400000000023,1.4955314180358892,4,2024
2024-03-14 00:00:00+00:00,2024-03-14 15:30:00+00:00,-1,clean_hi,73658.0,72500.0,1158.0,71200.0,71575.93,375.929999999993,71068.47,71648.88334480612,69907.64331038776,580.4133448061184,486.355632040882,True,,2024-03-14 16:30:00+00:00,1160.8266896122368,2.0,3,2024
2024-03-27 00:00:00+00:00,2024-03-27 13:15:00+00:00,1,clean_lo,70739.65,69840.0,899.6499999999942,70186.18,71121.1,934.9200000000128,71658.0,70141.3110652668,74691.3778694664,1516.6889347332035,299.12623155462,False,,2024-03-27 13:45:00+00:00,111.5399999999936,0.07354177738470433,2,2024
2024-04-11 00:00:00+00:00,2024-04-11 11:45:00+00:00,-1,clean_hi,71062.0,70285.13,776.8699999999953,70349.72,70504.0,154.27999999999884,69983.16,70542.15664134797,68865.16671730406,558.9966413479706,254.37760898653391,False,,2024-04-11 12:30:00+00:00,115.40000000000873,0.20644131192225398,3,2024
2024-04-15 00:00:00+00:00,2024-04-15 14:45:00+00:00,-1,clean_hi,66558.78,64683.01,1875.7699999999968,64921.92,65149.25,227.33000000000175,64235.24,65212.20245351319,62281.31509297361,976.9624535131952,419.6830234212844,True,,2024-04-15 19:00:00+00:00,1953.9249070263904,2.0,0,2024
2024-05-06 00:00:00+00:00,2024-05-06 10:30:00+00:00,-1,clean_hi,64473.78,63708.58,765.1999999999971,64849.0,65116.67,267.66999999999825,64132.92,65158.26107616454,62082.23784767091,1025.3410761645428,277.27384109696374,False,,2024-05-06 20:00:00+00:00,1432.9199999999983,1.3975057015759786,0,2024
2024-05-07 00:00:00+00:00,2024-05-07 11:45:00+00:00,-1,clean_hi,63967.19,62832.6,1134.5900000000038,63620.87,64001.99,381.11999999999534,63490.43,64037.41230823574,62396.46538352852,546.9823082357398,236.14872157160224,False,,2024-05-07 14:45:00+00:00,439.6600000000035,0.8037919935986627,1,2024
